categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long
,01-01-22,2022-01-01,"Viale Coni Zugna 0, Milano, MI",,Orsetto Nalle e i segnali stradali per bambini con fondazione Aida,https://www.milanotoday.it/eventi/orsetto-nalle-2021.html,Non classificato,"Viale Coni Zugna, Navigli, Municipio 6, Milano, Lombardia, 20144, Italia",45.4552068,9.1723362
Mostre,31-12-22,2022-01-01,"Via Luigi Settembrini, 11, Milano, MI",Museo delle Illusioni Milano,Museo delle illusioni Milano,https://www.milanotoday.it/eventi/museo-delle-illusioni-milano-2021.html,Arte e cultura,"Belmonte, 11, Via Luigi Settembrini, Centrale, Municipio 2, Milano, Lombardia, 20124, Italia",45.4811784,9.2050363
Spettacoli,02-01-22,2022-01-02,"Corso di Porta Romana 63,20122, Milano, MI,Italia",Carcano,The Black Blues Brothers,https://www.teatro.it/spettacoli/milano/carcano/2021-2022/the-black-blues-brothers,Teatro e spettacolo,"Teatro Carcano, 63, Corso di Porta Romana, Crocetta, Municipio 1, Milano, Lombardia, 20121, Italia",45.4566842,9.1955297
Spettacoli,02-01-22,2022-01-02,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,"Scusa sono in riunione, ti posso richiamare?",https://www.teatro.it/spettacoli/milano/manzoni/2021-2022/scusa-sono-in-riunione-ti-posso-richiamare,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
Spettacoli,02-01-22,2022-01-02,"Corso di Porta Romana 63,20122, Milano, MI,Italia",Carcano,The Black Blues Brothers,https://www.teatro.it/spettacoli/milano/carcano/2021-2022/the-black-blues-brothers,Teatro e spettacolo,"Teatro Carcano, 63, Corso di Porta Romana, Crocetta, Municipio 1, Milano, Lombardia, 20121, Italia",45.4566842,9.1955297
Spettacoli,02-01-22,2022-01-02,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,"Scusa sono in riunione, ti posso richiamare?",https://www.teatro.it/spettacoli/milano/manzoni/2021-2022/scusa-sono-in-riunione-ti-posso-richiamare,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
Spettacoli,04-01-22,2022-01-04,"via Pitteri 58,20134, Milano, MI,Italia",Martinitt,That's Amore,https://www.teatro.it/spettacoli/milano/martinitt/2021-2022/thats-amore,Teatro e spettacolo,"Via Riccardo Pitteri, Lambrate, Municipio 3, Milano, Lombardia, 20134, Italia",45.4798362,9.2457864
Spettacoli,04-01-22,2022-01-04,"via Pitteri 58,20134, Milano, MI,Italia",Martinitt,That's Amore,https://www.teatro.it/spettacoli/milano/martinitt/2021-2022/thats-amore,Teatro e spettacolo,"Via Riccardo Pitteri, Lambrate, Municipio 3, Milano, Lombardia, 20134, Italia",45.4798362,9.2457864
Spettacoli,04-01-22,2022-01-04,"Via Giordano Rota 1,20145, Milano, MI,Italia",Nazionale Italiana Assicurazioni,Finché social non ci separi,https://www.teatro.it/spettacoli/milano/nazionale-chebanca/2021-2022/finche-social-non-ci-separi,Teatro e spettacolo,"20145, Italy",45.4643,9.1895
Concerti,05-01-22,2022-01-05,"Via Pietrasanta, 16, Milano, MI",Magazzini Generali,Ai Magazzini Generali una serata con Ellen Allien,https://www.milanotoday.it/eventi/serata-magazzini-generali-ellen-allien.html,Musica e vita notturna,"16, Via Pietrasanta, Ex Om - Morivione, Municipio 5, Milano, Lombardia, 20141, Italia",45.4440954,9.1951652
