categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,Cluster
Spettacoli,01-01-19,2019-01-01,"Corso di Porta Romana 63,20122, Milano, MI,Italia",Carcano,La bella addormentata,https://www.teatro.it/spettacoli/milano/carcano/2018-2019/la-bella-addormentata,Teatro e spettacolo,"Teatro Carcano, 63, Corso di Porta Romana, Crocetta, Municipio 1, Milano, Lombardia, 20121, Italia",45.4566842,9.1955297,0
Spettacoli,01-01-19,2019-01-01,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,Con tutto il cuore,https://www.teatro.it/spettacoli/milano/manzoni/2018-2019/con-tutto-il-cuore,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762,0
Concerti,02-01-19,2019-01-02,"Via Fratelli Zanzottera, 31, Milano, MI",Figino,Concerto di Capodanno 2019 quasi come essere a Vienna,https://www.milanotoday.it/eventi/concerto-di-capodanno-2019.html,Musica e vita notturna,"31, Via Fratelli Zanzottera, Figino, Municipio 7, Milano, Lombardia, 20019, Italia",45.4921076,9.0719371,1
Spettacoli,04-01-19,2019-01-04,"Piazza S. Magno,20025, Legnano, MI,Italia",Galleria,Non mi hai più detto ti amo,https://www.teatro.it/spettacoli/legnano/galleria/2018-2019/non-mi-hai-piu-detto-ti-amo,Teatro e spettacolo,"Piazza San Magno, San Magno, Oltresempione, Legnano, Milano, Lombardia, 20025, Italia",45.5945288,8.9180098,4
Manifestazioni,04-01-19,2019-01-04,"Via San Vittore, 21, Milano, MI",Museo Nazionale della Scienza e della Tecnologia,"""Colori da viaggio"": venerdì 4 gennaio 2019 al Museo della Scienza e della Tecnologia",https://www.milanotoday.it/eventi/colori-da-viaggio-museo-scienza-tecnologia.html,Altri eventi,"21, Via San Vittore, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",45.4628946,9.1706462,0
Disco&Feste,05-01-19,2019-01-05,"Via Valtellina, 25, Milano, MI",Alcatraz Milano,Epifania in Pigiama Party: sabato 5 gennaio all'Alcatraz,https://www.milanotoday.it/eventi/epifania-pigiama-party-alcatraz.html,Musica e vita notturna,"Alcatraz, 25, Via Valtellina, Isola, Municipio 9, Milano, Lombardia, 20159, Italia",45.494744,9.1823768,0
Teatri,05-01-19,2019-01-05,"Piazza San Babila, Milano, MI",Teatro Nuovo,"""Le avventure della fabbrica di cioccolato"": sabato 5 gennaio al Teatro Nuovo",https://www.milanotoday.it/eventi/avventure-fabbrica-cioccolato.html,Teatro e spettacolo,"Piazza San Babila, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.466374,9.1977066,0
Disco&Feste,05-01-19,2019-01-05,"Via Carlo Boncompagni, 44, Milano, MI",Dude Club,"""Wrong Assessment invites: Sciahri"": sabato 5 gennaio al Dude Club",https://www.milanotoday.it/eventi/wrong-assessment-dude-club.html,Musica e vita notturna,"44, Via Carlo Boncompagni, Lodi - Corvetto, Municipio 4, Milano, Lombardia, 20139, Italia",45.438468,9.2304867,9
Concerti,05-01-19,2019-01-05,"Via Fabio Massimo, Milano, MI",Cascina Casottello,Dudù Kouate in concerto,https://www.milanotoday.it/eventi/dudu-kouate-in-concerto-2018.html,Musica e vita notturna,"Via Fabio Massimo, Lodi - Corvetto, Municipio 4, Milano, Lombardia, 20139, Italia",45.4324762,9.2249237,9
Disco&Feste,05-01-19,2019-01-05,"Via Gargano, 15, Milano, MI",Plastic,Serata electro-house al Plastic: sabato 5 gennaio,https://www.milanotoday.it/eventi/electro-house-plastic-2019.html,Musica e vita notturna,"15, Via Gargano, Scalo Romana, Municipio 5, Milano, Lombardia, 20139, Italia",45.4381784,9.2060207,9
