DATE_ID,LOCATION,VISIT_CLASS_ID,UNIQUE_USERS
20230102,a_15146_54,Pernottante,3360
20230102,a_15146_54,Visitatore,7366
20230102,a_15146_54,Abitante abituale,12395
20230102,a_15146_78,Pernottante,1445
20230102,a_15146_78,Visitatore,3549
20230102,a_15146_78,Abitante abituale,8243
20230102,m_15189,Pernottante,7964
20230102,m_15189,Abitante abituale,24791
20230102,m_15189,Visitatore,31137
20230103,a_15146_39,Pernottante,3893
20230103,a_15146_39,Abitante abituale,12079
20230103,a_15146_39,Visitatore,12478
20230103,a_15146_69,Pernottante,4086
20230103,a_15146_69,Abitante abituale,13311
20230103,a_15146_69,Visitatore,15826
20230103,a_15146_7,Pernottante,4917
20230103,a_15146_7,Abitante abituale,11613
20230103,a_15146_7,Visitatore,12453
20230105,a_15146_25,Pernottante,2664
20230105,a_15146_25,Visitatore,7187
20230105,a_15146_25,Abitante abituale,9265
20230105,a_15146_58,Pernottante,1642
20230105,a_15146_58,Visitatore,4696
20230105,a_15146_58,Abitante abituale,6290
20230105,m_15077,Pernottante,11407
20230105,m_15077,Visitatore,32683
20230105,m_15077,Abitante abituale,50182
20230105,m_15182,Pernottante,8650
20230105,m_15182,Visitatore,22178
20230105,m_15182,Abitante abituale,34831
20230105,m_15243,Pernottante,1319
20230105,m_15243,Abitante abituale,6348
20230105,m_15243,Visitatore,6827
20230106,a_15146_75,Pernottante,2028
20230106,a_15146_75,Visitatore,6253
20230106,a_15146_75,Abitante abituale,9402
20230107,a_15146_12,Pernottante,3656
20230107,a_15146_12,Visitatore,8832
20230107,a_15146_12,Abitante abituale,12129
20230108,m_15181,Pernottante,1324
20230108,m_15181,Visitatore,12625
20230108,m_15181,Abitante abituale,12648
20230108,m_15184,Pernottante,495
20230108,m_15184,Visitatore,2334
20230108,m_15184,Abitante abituale,3638
20230112,a_15146_39,Pernottante,5202
20230112,a_15146_39,Abitante abituale,15968
20230112,a_15146_39,Visitatore,22294
20230113,m_15014,Pernottante,1038
20230113,m_15014,Abitante abituale,3009
20230113,m_15014,Visitatore,6273
20230115,a_15146_77,Pernottante,2626
20230115,a_15146_77,Abitante abituale,9661
20230115,a_15146_77,Visitatore,9990
20230116,a_15146_54,Pernottante,4120
20230116,a_15146_54,Visitatore,12944
20230116,a_15146_54,Abitante abituale,17206
20230116,m_15244,Pernottante,600
20230116,m_15244,Abitante abituale,2502
20230116,m_15244,Visitatore,4183
20230117,a_15146_22,Pernottante,5997
20230117,a_15146_22,Abitante abituale,17527
20230117,a_15146_22,Visitatore,34645
20230117,a_15146_53,Pernottante,2865
20230117,a_15146_53,Visitatore,9606
20230117,a_15146_53,Abitante abituale,9806
20230117,m_15122,Pernottante,1288
20230117,m_15122,Abitante abituale,3392
20230117,m_15122,Visitatore,5162
20230118,m_15016,Pernottante,440
20230118,m_15016,Visitatore,2352
20230118,m_15016,Abitante abituale,2568
20230118,m_15046,Pernottante,861
20230118,m_15046,Visitatore,4936
20230118,m_15046,Abitante abituale,7960
20230122,a_15146_83,Pernottante,3405
20230122,a_15146_83,Visitatore,9155
20230122,a_15146_83,Abitante abituale,12356
20230122,m_15114,Pernottante,1707
20230122,m_15114,Visitatore,7025
20230122,m_15114,Abitante abituale,7614
20230127,m_15114,Pernottante,1647
20230127,m_15114,Visitatore,7402
20230127,m_15114,Abitante abituale,7988
20230129,m_15086,Pernottante,3835
20230129,m_15086,Visitatore,11234
20230129,m_15086,Abitante abituale,14387
20230129,m_15097,Pernottante,1249
20230129,m_15097,Visitatore,4230
20230129,m_15097,Abitante abituale,5238
20230130,m_15016,Pernottante,462
20230130,m_15016,Visitatore,2206
20230130,m_15016,Abitante abituale,2525
20230130,m_15076,Visitatore,5053
20230131,a_15146_19,Pernottante,5564
20230131,a_15146_19,Abitante abituale,17234
20230131,a_15146_19,Visitatore,18737
20230131,m_15035,Pernottante,352
20230131,m_15035,Visitatore,1572
20230131,m_15035,Abitante abituale,2046
20230201,m_15144,Pernottante,542
20230201,m_15144,Visitatore,2297
