categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,cluster,subcluster,hierarchical_id
,18-06-16,18-06-16,"Via Alessandro Stradella, 5, Milano, MI",Alma Matters,Concerto di campane tibetane a quattro mani all'Alma Matters,https://www.milanotoday.it/eventi/concerto-di-campane-tibetane.html,Non classificato,"Via Alessandro Stradella, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20129, Italia",45.4784806,9.2158425,0,0,0.0
,15-12-16,15-12-16,"Via Bonvesin de la Riva, 2, Milano, MI",Santa Maria del Suffragio,Concerto di Natale del Coro della Statale: il 15 dicembre alla Chiesa Santa Maria del Suffragio,https://www.milanotoday.it/eventi/concerto-natale.html,Non classificato,"Via Bonvesin de la Riva, XXII Marzo, Municipio 4, Milano, Lombardia, 29135, Italia",45.4633573,9.2120555,0,-1,0.-1
Turismo,30-04-19,21-08-17,"Piazza San Sepolcro, Milano, MI",Cripta di San Sepolcro,"Cripta di San Sepolcro a Milano, la magia dei ritrovamenti dei restauri: le visite notturne",https://www.milanotoday.it/eventi/cripta-san-sepolcro-biglietti.html,Non classificato,"Piazza San Sepolcro, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.462935,9.1852031,0,0,0.0
Mostre,20-02-19,19-02-18,"Via Festa del Perdono, Milano, MI",Università degli studi di Milano,Dal 20 febbraio in Statale un'imponente installazione di arte povera,https://www.milanotoday.it/eventi/installazione-arte-povera-statale.html,Arte e cultura,"Via Festa del Perdono, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",45.4603426,9.1940887,0,0,0.0
Mostre,01-03-19,01-03-18,"Piazza Pio XI, 2, Milano, MI",Pinacoteca Ambrosiana,72 capolavori hindu: dal 1° marzo alla Pinacoteca Ambrosiana,https://www.milanotoday.it/eventi/72-capolavori-hindu.html,Arte e cultura,"Biblioteca Ambrosiana, 2, Piazza Pio Undicesimo, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.4636207,9.1860483,0,0,0.0
Mostre,17-03-19,17-03-18,"Via Gerolamo Morone, 1, Milano, MI",Casa del Manzoni,“Buena suerte milagros de méxico” «Folklore e tradizione negli ex~voto messicani contemporanei»,https://www.milanotoday.it/eventi/buena-suerte-milagros-de-mexico--2018.html,Arte e cultura,"Casa Manzoni, 1, Via Gerolamo Morone, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",45.4678068,9.1920792,0,0,0.0
Mostre,20-07-19,20-03-18,"Via Gerolamo Morone, Milano, MI",Casa Del Manzoni,Mostra Buena suerte Milagros de Mèxico,https://www.milanotoday.it/eventi/mostra-buena-suerte-milagros-de-mexico-2019.html,Arte e cultura,"Via Gerolamo Morone, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",45.4681863,9.1916738,0,0,0.0
Turismo,01-09-19,29-03-18,"Piazza Castello, Milano, MI",Castello Sforzesco,“Beyond the Castle”: dal 29 marzo fino a settembre 2019 realtà virtuale al Castello Sforzesco per vivere come un arciere nella Milano rinascimentale,https://www.milanotoday.it/eventi/beyond-the-castle.html,Non classificato,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, Italia",45.4704699,9.1819129,0,0,0.0
Mostre,30-06-19,21-06-18,"Piazza Ventiquattro Maggio, Milano, MI",Piazza XXIV Maggio,"Piazza XXIV Maggio, arrivano le tre grandi cupole interattive sul lato oscuro della moda",https://www.milanotoday.it/eventi/cupole-piazza-xxiv-maggio.html,Arte e cultura,"Piazza Ventiquattro Maggio, Ticinese, Municipio 5, Milano, Lombardia, 20136, Italia",45.4529634,9.1804834,0,0,0.0
Mostre,13-10-19,19-07-18,"Via San Vittore, Milano, MI",Museo Nazionale della Scienza e della Tecnologia,"""Leonardo da Vinci Parade"": dal 19 luglio al 13 ottobre 2019 al Museo Nazionale Scienza e Tecnologia",https://www.milanotoday.it/eventi/leonado-da-vinci-parade.html,Arte e cultura,"Via San Vittore, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20144, Italia",45.4640293,9.1681174,0,0,0.0
